,Number_of_Appartments,neighborhood,Price,Surface,rooms,%n_of_app_distrcitct
0,964,Centro,614980.0,115.0,3.0,10.429514226982581
1,928,Salamanca,1046369.0,154.0,3.0,10.04003029319485
2,610,Chamberí,822194.0,144.0,3.0,6.599588878069891
3,590,Carabanchel,176702.0,79.0,3.0,6.383208914854485
4,570,Tetuán,418917.0,107.0,3.0,6.166828951639078
5,502,Chamartín,1063756.0,184.0,3.0,5.431137076706697
6,481,Puente de Vallecas,139109.0,71.0,2.0,5.20393811533052
7,459,San Blas,269114.0,93.0,3.0,4.965920155793573
8,424,Moncloa,1111446.0,345.0,4.0,4.587255220166613
9,415,Ciudad Lineal,359417.0,102.0,3.0,4.489884236719679
10,413,Villaverde,160356.0,81.0,3.0,4.468246240398139
11,410,Hortaleza,814188.0,203.0,3.0,4.435789245915829
12,390,Arganzuela,346349.0,86.0,2.0,4.219409282700422
13,364,Fuencarral,708106.0,213.0,4.0,3.938115330520394
14,359,Retiro,669887.0,127.0,3.0,3.884020339716542
15,349,Latina,180506.0,78.0,3.0,3.7758303581088395
16,308,Vicálvaro,243861.0,102.0,3.0,3.332251433517256
17,245,Usera,164136.0,84.0,3.0,2.650654549388727
18,220,Villa de Vallecas,183272.0,79.0,2.0,2.3801795953694684
19,132,Barajas,432193.0,146.0,3.0,1.4281077572216814
20,108,Moratalaz,219503.0,84.0,3.0,1.1684518013631937
